Product Name,Rating,Customers_Rated,Price,URL
"Casual Sneaker Shoes for Men | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption",4.1 out of 5 stars,357,1119.0,https://www.amazon.in/Red-Tape-Comfortable-Breathable-Absorbant/dp/B0CGD8HGCJ/ref=sr_1_23?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-23
Mens Sd0734g Sneaker,4.1 out of 5 stars,3195,699.0,https://www.amazon.in/Sparx-Mens-White-Sneaker-SD0734G/dp/B09PVGTFV4/ref=sr_1_24?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-24
Men's Essential Your Everyday All Purpose Walking Running Casual Shoes,3.9 out of 5 stars,229,1149.0,https://www.amazon.in/Bacca-Bucci-Essential-Everyday-Purpose/dp/B0CWD4T5T7/ref=sr_1_25?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-25
Leap7X SCHLPRO-3 Kids' Velcro School Shoes for Daily Use and Long-Lasting Durability,4.8 out of 5 stars,10,824.0,https://www.amazon.in/Liberty-LEAP7X-SCHLPRO-3-Velcro-Durability/dp/B0CX55FFPJ/ref=sr_1_27?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-27
Premium High Top Comfortable Synthetic Leather Casual Sneakers Shoes,3.2 out of 5 stars,24,429.0,https://www.amazon.in/Birde-Black-Leather-Running-Shoes/dp/B0CC94BKJS/ref=sr_1_28?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-28
Mens Sx0680gSneaker,4.0 out of 5 stars,2178,1049.0,https://www.amazon.in/Sparx-Mens-Running-Shoe-9-SX0680G/dp/B098B8YCZ2/ref=sr_1_29?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-29
Men's CATO Walking Shoes,4.0 out of 5 stars,438,549.0,https://www.amazon.in/Campus-D-Gry-F-GRN-Running-Shoes/dp/B0C4T1LJ1F/ref=sr_1_30?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-30
Men's Dunk Running Shoes,3.5 out of 5 stars,18,1189.0,https://www.amazon.in/Campus-Mens-F-ORG-Running-Shoes/dp/B0CV3DCB8Q/ref=sr_1_31?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-31
Men's Shoes Captoe Style Comfortable Laceups for Men (RGCT),4.3 out of 5 stars,41,1399.0,https://www.amazon.in/LOUIS-STITCH-Rosewood-Comfortable-Size-9UK/dp/B0CN3K23TZ/ref=sr_1_32?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-32
Men's Dragon Running Shoes,3.8 out of 5 stars,3648,1199.0,https://www.amazon.in/Campus-Dragon-Mens-Running-Shoes/dp/B07SSXCTXH/ref=sr_1_33?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-33
Premium Comfortable Casual White Sneakers Shoes for Men,3.6 out of 5 stars,82,340.0,https://www.amazon.in/Birde-Premium-Comfortable-Sneakers-Shoes_Brd-1050_9/dp/B0CF21BRX9/ref=sr_1_34?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-34
"Men's Thar-01 Sports Running,Walking & Gym Shoes with Eva Sole Extra Jump Casual Sneaker Shoes for Men's & Boy's",3.8 out of 5 stars,4876,661.0,https://www.amazon.in/ASIAN-Thar-01-Running-Walking-Sneaker/dp/B0BBB8KRF9/ref=sr_1_35?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-35
Mens Sx0727gRunning Shoe,3.9 out of 5 stars,78,799.0,https://www.amazon.in/Sparx-Mens-SX0727G-Blackneonorange-Running/dp/B0B5F6BM82/ref=sr_1_38?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-38
Barefoot Shoe for Men,4.3 out of 5 stars,245,899.0,https://www.amazon.in/Impakto-Black-Barefoot-Shoes-AS3143/dp/B0CLGMQ57G/ref=sr_1_39?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-39
Mens Sc0728gCasual Shoe,3.9 out of 5 stars,500,799.0,https://www.amazon.in/Sparx-Mens-SC0728G-Blackhoney-Casual/dp/B09N6VR16K/ref=sr_1_41?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-41
"OG-14 Sneakers for Men | Stylish & Comfortable Casual Shoes | Cushioned Yoga Max Insole, Anti-Skid Outsole for Traction and Water-Resistant Upper",3.8 out of 5 stars,17,1559.0,https://www.amazon.in/Campus-Comfortable-Cushioned-Anti-Skid-Water-Resistant/dp/B0CMD5XHPR/ref=sr_1_42?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-42
Men's Conor Running Shoes,4.0 out of 5 stars,2,809.0,https://www.amazon.in/Campus-Conor-L-Gry-MEHROON-Running/dp/B0CV5MV28V/ref=sr_1_43?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-43
Boys Gola-schvSchool Uniform Shoe,3.7 out of 5 stars,1120,541.0,https://www.amazon.in/Liberty-Force-Gola-SCHV-School-Lacing/dp/B0BYVTZH3Y/ref=sr_1_44?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-44
Men's Lucius Running Shoes,4.0 out of 5 stars,21,799.0,https://www.amazon.in/Campus-Lucius-Running-L-Gry-R-Slate/dp/B0C3LPBSLY/ref=sr_1_45?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-45
Mens Extreme Leather Casual Shoes,4.0 out of 5 stars,4055,1199.0,https://www.amazon.in/Power-Extreme-Leather-Sneaker-8338894/dp/B097C4W4H3/ref=sr_1_46?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-46
Men's Hurricane Running Shoes,4.0 out of 5 stars,3251,937.0,https://www.amazon.in/Campus-Hurricane-BTGRN-BLK-Running-Shoes/dp/B09HCHRKTS/ref=sr_1_48?dib=eyJ2IjoiMSJ9.xhpK4VjWT4tWltNrYq_dCPgwSkx7570Bp8kd0XrtMnAYA9ftFZratPLY2IH4VyWn7UxxnzBeRFiT-FMZps6ub0gv4pqzifMzgBjaxFCHC36s884XbmLzCTV8WVwiKPu9FTvhoyc5x4bf3bihNPImD1KtCKxdZVkm2JOgy3h_Eh9mbjs3M8aO994u0sz8c1JBH9DE_kG5I0oR3KoVEeMFTE7l7H4sHG7hTpbfyuRpRtPgKNyL2H1x-Z0HrXEvu71i__ZhOUzzT1LxRrItFZ2jaZOyyxMUTY0fkCSxyZOirkg.tN3NeJ_Uic9FNmDJrgj2HeIUyYbWHgMBOPFMupFLcsc&dib_tag=se&keywords=shoe&qid=1713180033&sr=8-48
